idx,name,ident,format,vendor,is_instrument,primary_category,categories,primary_category_v6,categories_v6
0,Video processor,Video processor,UNKNOWN,,False,Other/Unknown,Other/Unknown,Video/Visual,Video/Visual
1,Container,Container,UNKNOWN,,False,Other/Unknown,Other/Unknown,Wrapper/Container,Wrapper/Container
2,ReWire: [Disabled]Ableton Live,ReWire: [Disabled]Ableton Live,REWIRE,,False,Utility/Routing,Utility/Routing,Utility/Routing,Utility/Routing
3,ReWire: REAPER,ReWire: REAPER,REWIRE,,False,Utility/Routing,Utility/Routing,Utility/Routing,Utility/Routing
4,VST: 5.1 Hybrid Bus Compressor (Stige T.) (6ch),C:\Program Files\Common Files\VST2\HBC-5.x64.dll,VST,Stige T.,False,Other/Unknown,Other/Unknown,Dynamics,Dynamics
5,VST3: 7Q (MANDA AUDIO),C:\Program Files\Common Files\VST3\7Q.vst3,VST3,MANDA AUDIO,False,EQ/Filter,EQ/Filter,EQ/Filter,EQ/Filter
6,VST3: A1StereoControl (A1AUDIO.de),C:\Program Files\Common Files\VST3\A1AUDIO.de\A1StereoControl-x64.vst3,VST3,A1AUDIO.de,False,Spatial/Imaging,Spatial/Imaging,Spatial/Imaging,Spatial/Imaging
7,VST3: A1TriggerGate (A1AUDIO.de),C:\Program Files\Common Files\VST3\A1AUDIO.de\A1TriggerGate-x64.vst3,VST3,A1AUDIO.de,False,Gate/TranceGate,Gate/TranceGate,Gate/TranceGate,Gate/TranceGate
8,VST: Acceleration (airwindows),C:\Program Files\Common Files\VST2\Airwindows\Acceleration64.dll,VST,airwindows,False,Other/Unknown,Other/Unknown,Saturation/Distortion,Saturation/Distortion
9,VST: Acceleration2 (airwindows),C:\Program Files\Common Files\VST2\Airwindows\Acceleration264.dll,VST,airwindows,False,Other/Unknown,Other/Unknown,Saturation/Distortion,Saturation/Distortion
10,VST3: Acon Digital Multiply (Acon Digital),C:\Program Files\Common Files\VST3\Acon Digital\Multiply.vst3,VST3,Acon Digital,False,Modulation,Modulation,Modulation,Modulation
11,VST: Acon Digital Multiply (Acon Digital) (8ch),C:\Program Files\Common Files\VST3\Acon Digital\Multiply.dll,VST,Acon Digital,False,Modulation,Modulation,Modulation,Modulation
12,VST3i: adc Clap (Audec),C:\Program Files\Common Files\VST3\adc Clap.vst3,VST3I,Audec,True,Instruments,Instruments,Instruments,Instruments
13,VST3: adc Crush 2 (Audec),C:\Program Files\Common Files\VST3\adc Crush 2.vst3,VST3,Audec,False,Other/Unknown,Other/Unknown,LoFi/Degrade,LoFi/Degrade
14,VST3: adc Extra Pan (Audec),C:\Program Files\Common Files\VST3\adc Extra Pan.vst3,VST3,Audec,False,Spatial/Imaging,Spatial/Imaging,Spatial/Imaging,Spatial/Imaging
15,VST3: adc Haas 2 (Audec),C:\Program Files\Common Files\VST3\adc Haas 2.vst3,VST3,Audec,False,Spatial/Imaging,Spatial/Imaging,Spatial/Imaging,Spatial/Imaging
16,VST3: adc Mono (Audec),C:\Program Files\Common Files\VST3\adc Mono.vst3,VST3,Audec,False,Other/Unknown,Other/Unknown,Spatial/Imaging,Spatial/Imaging
17,VST3: adc Ring 2 (Audec),C:\Program Files\Common Files\VST3\adc Ring 2.vst3,VST3,Audec,False,Modulation,Modulation,Modulation,Modulation
18,VST3: adc Shape Lite 2 (Audec),C:\Program Files\Common Files\VST3\adc Shape Lite 2.vst3,VST3,Audec,False,EQ/Filter,EQ/Filter; Saturation/Distortion,EQ/Filter,EQ/Filter; Saturation/Distortion
19,VST3: adc Spread Delay (Audec),C:\Program Files\Common Files\VST3\adc Spread Delay.vst3,VST3,Audec,False,Delay,Delay,Delay,Delay
20,VST3: adc Spread Delay Lite (Audec),C:\Program Files\Common Files\VST3\adc Spread Delay Lite.vst3,VST3,Audec,False,Delay,Delay,Delay,Delay
21,VST3: adc Transient (Audec),C:\Program Files\Common Files\VST3\adc Transient.vst3,VST3,Audec,False,Dynamics,Dynamics,Transient/Shaper,Dynamics; Transient/Shaper
22,VST3: adc Transient Lite (Audec),C:\Program Files\Common Files\VST3\adc Transient Lite.vst3,VST3,Audec,False,Dynamics,Dynamics,Transient/Shaper,Dynamics; Transient/Shaper
23,VST3: adc Vectorscope 2 (Audec),C:\Program Files\Common Files\VST3\adc Vectorscope 2.vst3,VST3,Audec,False,Metering/Analysis,Metering/Analysis,Metering/Analysis,Metering/Analysis
24,VST: ADClip7 (airwindows),C:\Program Files\Common Files\VST2\Airwindows\ADClip764.dll,VST,airwindows,False,Other/Unknown,Other/Unknown,Limiter/Clipper,Dynamics; Limiter/Clipper
25,VST: ADClip8 (airwindows),C:\Program Files\Common Files\VST2\Airwindows\ADClip864.dll,VST,airwindows,False,Other/Unknown,Other/Unknown,Limiter/Clipper,Dynamics; Limiter/Clipper
26,VST3i: ADSR Sample Manager (ADSR),C:\Program Files\Common Files\VST3\ADSR Sample Manager.vst3,VST3I,ADSR,True,Instruments,Instruments,Instruments,Instruments
27,VST: ADT (airwindows),C:\Program Files\Common Files\VST2\Airwindows\ADT64.dll,VST,airwindows,False,Other/Unknown,Other/Unknown,Saturation/Distortion,Saturation/Distortion
28,VST: Air (airwindows),C:\Program Files\Common Files\VST2\Airwindows\Air64.dll,VST,airwindows,False,Other/Unknown,Other/Unknown,Saturation/Distortion,Saturation/Distortion
29,VST3: Air Shelf (Bertom),C:\Program Files\Common Files\VST3\Bertom_AirShelf.vst3,VST3,Bertom,False,EQ/Filter,EQ/Filter,EQ/Filter,EQ/Filter
30,VST: Air2 (airwindows),C:\Program Files\Common Files\VST2\Airwindows\Air264.dll,VST,airwindows,False,Other/Unknown,Other/Unknown,Saturation/Distortion,Saturation/Distortion
31,VST: Air3 (airwindows),C:\Program Files\Common Files\VST2\Airwindows\Air364.dll,VST,airwindows,False,Other/Unknown,Other/Unknown,Saturation/Distortion,Saturation/Distortion
32,VST: Air4 (airwindows),C:\Program Files\Common Files\VST2\Airwindows\Air464.dll,VST,airwindows,False,Other/Unknown,Other/Unknown,Saturation/Distortion,Saturation/Distortion
33,VST3: AirMusic (Sound Particles),C:\Program Files\Common Files\VST3\AirMusic.vst3,VST3,Sound Particles,False,Spatial/Imaging,Delay; Modulation; MultiFX/ChannelStrip; Reverb; Spatial/Imaging,Spatial/Imaging,Delay; Modulation; MultiFX/ChannelStrip; Reverb; Spatial/Imaging
34,VST3: Airwindows Consolidated (Airwindows),C:\Program Files\Common Files\VST3\Airwindows (with BaconPaul and members of the Surge Synth Team)\Airwindows Consolidated.vst3\Contents\x86_64-win\Airwindows Consolidated.vst3,VST3,Airwindows,False,Other/Unknown,Other/Unknown,Saturation/Distortion,Saturation/Distortion
35,VST: Ambience (x86) (Magnus @ Smartelectron:x),C:\Program Files\Steinberg\VSTPlugins\Ambience.dll,VST,Magnus @ Smartelectron:x,False,Reverb,Reverb,Reverb,Reverb
36,VST3: Analista (Duarte Vinagre),C:\Program Files\Common Files\VST3\Diagnostic Studio\Analista\Analista.vst3,VST3,Duarte Vinagre,False,Metering/Analysis,Metering/Analysis,Metering/Analysis,Metering/Analysis
37,VST: AnarchyRhythms (AnarchySoundSoftware),C:\Program Files (x86)\VST PlugIns\AnarchyRhythms.dll,VST,AnarchySoundSoftware,False,Glitch/Granular/Spectral,Gate/TranceGate; Glitch/Granular/Spectral,Glitch/Granular/Spectral,Gate/TranceGate; Glitch/Granular/Spectral
38,VST: AngleEQ (airwindows),C:\Program Files\Common Files\VST2\Airwindows\AngleEQ64.dll,VST,airwindows,False,Other/Unknown,Other/Unknown,EQ/Filter,EQ/Filter
39,VST3: AnSpec (Voxengo),C:\Program Files\Common Files\VST3\AnSpec.vst3,VST3,Voxengo,False,Metering/Analysis,Metering/Analysis,Metering/Analysis,Metering/Analysis
40,VST: Apicolypse (airwindows),C:\Program Files\Common Files\VST2\Airwindows\Apicolypse64.dll,VST,airwindows,False,Other/Unknown,Other/Unknown,Saturation/Distortion,Saturation/Distortion
41,VST: AQuickVoiceClip (airwindows),C:\Program Files\Common Files\VST2\Airwindows\AQuickVoiceClip64.dll,VST,airwindows,False,Other/Unknown,Other/Unknown,Limiter/Clipper,Dynamics; Limiter/Clipper
42,VST: AtmosphereBuss (airwindows),C:\Program Files\Common Files\VST2\Airwindows\AtmosphereBuss64.dll,VST,airwindows,False,Other/Unknown,Other/Unknown,Saturation/Distortion,Saturation/Distortion
43,VST: AtmosphereChannel (airwindows),C:\Program Files\Common Files\VST2\Airwindows\AtmosphereChannel64.dll,VST,airwindows,False,Other/Unknown,Other/Unknown,MultiFX/ChannelStrip,MultiFX/ChannelStrip; Saturation/Distortion
44,VST3i: Attracktive (Tracktion),C:\Program Files\Common Files\VST3\Attracktive.vst3\Contents\x86_64-win\Attracktive.vst3,VST3I,Tracktion,True,Instruments,Instruments,Instruments,Instruments
45,VSTi: Attracktive (Tracktion),C:\Program Files\Common Files\VST2\Attracktive.dll,VSTI,Tracktion,True,Instruments,Instruments,Instruments,Instruments
46,VST: Aura (airwindows),C:\Program Files\Common Files\VST2\Airwindows\Aura64.dll,VST,airwindows,False,Other/Unknown,Other/Unknown,Saturation/Distortion,Saturation/Distortion
47,VST: AutoPan (airwindows),C:\Program Files\Common Files\VST2\Airwindows\AutoPan64.dll,VST,airwindows,False,Other/Unknown,Other/Unknown,Modulation,Metering/Analysis; Modulation
48,VST: Average (airwindows),C:\Program Files\Common Files\VST2\Airwindows\Average64.dll,VST,airwindows,False,Other/Unknown,Other/Unknown,Saturation/Distortion,Saturation/Distortion
49,VST: AverMatrix (airwindows),C:\Program Files\Common Files\VST2\Airwindows\AverMatrix64.dll,VST,airwindows,False,Other/Unknown,Other/Unknown,Saturation/Distortion,Saturation/Distortion
50,VST: Backmask (Freakshow Industries),C:\Program Files\VSTPlugins\Acon Digital\Backmask.dll,VST,Freakshow Industries,False,Glitch/Granular/Spectral,Glitch/Granular/Spectral,Glitch/Granular/Spectral,Glitch/Granular/Spectral
51,VST3: Backmask (Freakshow Industries),C:\Program Files\Common Files\VST3\Backmask.vst3,VST3,Freakshow Industries,False,Glitch/Granular/Spectral,Glitch/Granular/Spectral,Glitch/Granular/Spectral,Glitch/Granular/Spectral
52,VST: Balanced (airwindows),C:\Program Files\Common Files\VST2\Airwindows\Balanced64.dll,VST,airwindows,False,Other/Unknown,Other/Unknown,Saturation/Distortion,Saturation/Distortion
53,VST: Bark of Dog 3 (Boz Digital Labs),C:\Program Files\Steinberg\VSTPlugins\Boz Digital Labs\Bark of Dog 3.dll,VST,Boz Digital Labs,False,EQ/Filter,EQ/Filter,EQ/Filter,EQ/Filter
54,VST3: Bark of Dog 3 (Boz Digital Labs) (mono),C:\Program Files\Common Files\VST3\Boz Digital Labs\Bark of Dog 3.vst3,VST3,Boz Digital Labs,False,EQ/Filter,EQ/Filter,EQ/Filter,EQ/Filter
55,VST: BassAmp (airwindows),C:\Program Files\Common Files\VST2\Airwindows\BassAmp64.dll,VST,airwindows,False,Other/Unknown,Other/Unknown,EQ/Filter,EQ/Filter
56,VST: BassDrive (airwindows),C:\Program Files\Common Files\VST2\Airwindows\BassDrive64.dll,VST,airwindows,False,Other/Unknown,Other/Unknown,EQ/Filter,EQ/Filter; Saturation/Distortion
57,VST: BassKit (airwindows),C:\Program Files\Common Files\VST2\Airwindows\BassKit64.dll,VST,airwindows,False,Other/Unknown,Other/Unknown,EQ/Filter,EQ/Filter
58,VST3: Basslane (Tone Projects),C:\Program Files\Common Files\VST3\Basslane.vst3,VST3,Tone Projects,False,Spatial/Imaging,Spatial/Imaging,Spatial/Imaging,Spatial/Imaging
59,VST3i: BAT-S12 (Duarte Vinagre) (26 out),C:\Program Files\Common Files\VST3\beatassist.eu\BAT-S12\BAT-S12.vst3,VST3I,Duarte Vinagre,True,Instruments,Instruments,Instruments,Instruments
60,VST: Baxandall (airwindows),C:\Program Files\Common Files\VST2\Airwindows\Baxandall64.dll,VST,airwindows,False,Other/Unknown,Other/Unknown,Saturation/Distortion,Saturation/Distortion
61,VST: Baxandall2 (airwindows),C:\Program Files\Common Files\VST2\Airwindows\Baxandall264.dll,VST,airwindows,False,Other/Unknown,Other/Unknown,Saturation/Distortion,Saturation/Distortion
62,VST3: BaxterEQ (Variety Of Sound),C:\Program Files\Common Files\VST3\BaxterEQ (64).vst3,VST3,Variety Of Sound,False,Other/Unknown,Other/Unknown,Dynamics,Dynamics
63,VST: Beam (airwindows),C:\Program Files\Common Files\VST2\Airwindows\Beam64.dll,VST,airwindows,False,Other/Unknown,Other/Unknown,Saturation/Distortion,Saturation/Distortion
64,VST3: Beat Slammer (BABY Audio),C:\Program Files\Common Files\VST3\Beat Slammer.vst3\Contents\x86_64-win\Beat Slammer.vst3,VST3,BABY Audio,False,Dynamics,Dynamics,Dynamics,Dynamics
65,VST: Beat Slammer (x86) (BABY Audio),C:\Program Files (x86)\Steinberg\VSTPlugins\Beat Slammer.dll,VST,BABY Audio,False,Dynamics,Dynamics,Dynamics,Dynamics
66,VST3: Beeper (Voxengo),C:\Program Files\Common Files\VST3\Beeper.vst3,VST3,Voxengo,False,Utility/Routing,Utility/Routing,Utility/Routing,Utility/Routing
67,VST: BezEQ (airwindows),C:\Program Files\Common Files\VST2\Airwindows\BezEQ64.dll,VST,airwindows,False,Other/Unknown,Other/Unknown,EQ/Filter,EQ/Filter
68,VST: BigAmp (airwindows),C:\Program Files\Common Files\VST2\Airwindows\BigAmp64.dll,VST,airwindows,False,Other/Unknown,Other/Unknown,Saturation/Distortion,Saturation/Distortion
69,VST: Biquad (airwindows),C:\Program Files\Common Files\VST2\Airwindows\Biquad64.dll,VST,airwindows,False,Other/Unknown,Other/Unknown,Saturation/Distortion,Saturation/Distortion
70,VST: Biquad2 (airwindows),C:\Program Files\Common Files\VST2\Airwindows\Biquad264.dll,VST,airwindows,False,Other/Unknown,Other/Unknown,Saturation/Distortion,Saturation/Distortion
71,VST: BiquadDouble (airwindows),C:\Program Files\Common Files\VST2\Airwindows\BiquadDouble64.dll,VST,airwindows,False,Other/Unknown,Other/Unknown,Saturation/Distortion,Saturation/Distortion
72,VST: BiquadHiLo (airwindows),C:\Program Files\Common Files\VST2\Airwindows\BiquadHiLo64.dll,VST,airwindows,False,Other/Unknown,Other/Unknown,Saturation/Distortion,Saturation/Distortion
73,VST: BiquadNonLin (airwindows),C:\Program Files\Common Files\VST2\Airwindows\BiquadNonLin64.dll,VST,airwindows,False,Other/Unknown,Other/Unknown,Saturation/Distortion,Saturation/Distortion
74,VST: BiquadOneHalf (airwindows),C:\Program Files\Common Files\VST2\Airwindows\BiquadOneHalf64.dll,VST,airwindows,False,Other/Unknown,Other/Unknown,Saturation/Distortion,Saturation/Distortion
75,VST: BiquadPlus (airwindows),C:\Program Files\Common Files\VST2\Airwindows\BiquadPlus64.dll,VST,airwindows,False,Other/Unknown,Other/Unknown,Saturation/Distortion,Saturation/Distortion
76,VST: BiquadStack (airwindows),C:\Program Files\Common Files\VST2\Airwindows\BiquadStack64.dll,VST,airwindows,False,Other/Unknown,Other/Unknown,Saturation/Distortion,Saturation/Distortion
77,VST: BiquadTriple (airwindows),C:\Program Files\Common Files\VST2\Airwindows\BiquadTriple64.dll,VST,airwindows,False,Other/Unknown,Other/Unknown,Saturation/Distortion,Saturation/Distortion
78,VST: Bite (airwindows),C:\Program Files\Common Files\VST2\Airwindows\Bite64.dll,VST,airwindows,False,Other/Unknown,Other/Unknown,Saturation/Distortion,Saturation/Distortion
79,VST: BitGlitter (airwindows),C:\Program Files\Common Files\VST2\Airwindows\BitGlitter64.dll,VST,airwindows,False,Other/Unknown,Other/Unknown,Saturation/Distortion,Saturation/Distortion
80,VST: BitShiftGain (airwindows),C:\Program Files\Common Files\VST2\Airwindows\BitShiftGain64.dll,VST,airwindows,False,Other/Unknown,Other/Unknown,Saturation/Distortion,Saturation/Distortion
81,VST: BitShiftPan (airwindows),C:\Program Files\Common Files\VST2\Airwindows\BitShiftPan64.dll,VST,airwindows,False,Other/Unknown,Other/Unknown,Metering/Analysis,Metering/Analysis
82,VST3: BLENDEQ (AnalogObsession),C:\Program Files\Common Files\VST3\BLENDEQ.vst3\Contents\x86_64-win\BLENDEQ.vst3,VST3,AnalogObsession,False,Other/Unknown,Other/Unknown,EQ/Filter,EQ/Filter
83,VST3: Blindfold EQ (AudioThing),C:\Program Files\Common Files\VST3\BlindfoldEQ.vst3,VST3,AudioThing,False,EQ/Filter,EQ/Filter,EQ/Filter,EQ/Filter
84,VST: BlockParty (airwindows),C:\Program Files\Common Files\VST2\Airwindows\BlockParty64.dll,VST,airwindows,False,Other/Unknown,Other/Unknown,Saturation/Distortion,Saturation/Distortion
85,VST3: Blue Cat's Chorus 4 (Mono) (Blue Cat Audio),C:\Program Files\Common Files\VST3\BC Chorus 4 VST3(Mono).vst3,VST3,Blue Cat Audio,False,Modulation,Modulation,Modulation,Modulation; Spatial/Imaging
86,VST3: Blue Cat's Chorus 4 (Stereo) (Blue Cat Audio),C:\Program Files\Common Files\VST3\BC Chorus 4 VST3(Stereo).vst3,VST3,Blue Cat Audio,False,Modulation,Modulation|Spatial/Imaging,Modulation,Modulation; Spatial/Imaging
87,VST3: Blue Cat's Flanger 3 (Mono) (Blue Cat Audio),C:\Program Files\Common Files\VST3\BC Flanger 3 VST3(Mono).vst3,VST3,Blue Cat Audio,False,Modulation,Modulation,Modulation,Modulation; Spatial/Imaging
88,VST3: Blue Cat's Flanger 3 (Stereo) (Blue Cat Audio),C:\Program Files\Common Files\VST3\BC Flanger 3 VST3(Stereo).vst3,VST3,Blue Cat Audio,False,Modulation,Modulation|Spatial/Imaging,Modulation,Modulation; Spatial/Imaging
89,VST3: Blue Cat's Free Amp (Blue Cat Audio),C:\Program Files\Common Files\VST3\BC Free Amp VST3.vst3,VST3,Blue Cat Audio,False,Saturation/Distortion,Saturation/Distortion,Amp/Cab/Guitar,Amp/Cab/Guitar; Saturation/Distortion
90,VST3: Blue Cat's FreqAnalyst 2 (Mono) (Blue Cat Audio),C:\Program Files\Common Files\VST3\BC FreqAnalyst 2 VST3(Mono).vst3,VST3,Blue Cat Audio,False,Other/Unknown,Other/Unknown,Spatial/Imaging,Spatial/Imaging
91,VST3: Blue Cat's FreqAnalyst 2 (Stereo) (Blue Cat Audio),C:\Program Files\Common Files\VST3\BC FreqAnalyst 2 VST3(Stereo).vst3,VST3,Blue Cat Audio,False,Spatial/Imaging,Spatial/Imaging,Spatial/Imaging,Spatial/Imaging
92,VST3: Blue Cat's Gain 3 (Dual) (Blue Cat Audio),C:\Program Files\Common Files\VST3\BC Gain 3 VST3(Dual).vst3,VST3,Blue Cat Audio,False,Utility/Routing,Utility/Routing,Utility/Routing,Utility/Routing
93,VST3: Blue Cat's Gain 3 (Mono) (Blue Cat Audio),C:\Program Files\Common Files\VST3\BC Gain 3 VST3(Mono).vst3,VST3,Blue Cat Audio,False,Utility/Routing,Utility/Routing,Spatial/Imaging,Spatial/Imaging; Utility/Routing
94,VST3: Blue Cat's Gain 3 (Stereo) (Blue Cat Audio),C:\Program Files\Common Files\VST3\BC Gain 3 VST3(Stereo).vst3,VST3,Blue Cat Audio,False,Utility/Routing,Spatial/Imaging|Utility/Routing,Spatial/Imaging,Spatial/Imaging; Utility/Routing
95,VST3: Blue Cat's Phaser 3 (Mono) (Blue Cat Audio),C:\Program Files\Common Files\VST3\BC Phaser 3 VST3(Mono).vst3,VST3,Blue Cat Audio,False,Modulation,Modulation,Modulation,Modulation; Spatial/Imaging
96,VST3: Blue Cat's Phaser 3 (Stereo) (Blue Cat Audio),C:\Program Files\Common Files\VST3\BC Phaser 3 VST3(Stereo).vst3,VST3,Blue Cat Audio,False,Modulation,Modulation|Spatial/Imaging,Modulation,Modulation; Spatial/Imaging
97,VST3: Blue Cat's Triple EQ 4 (Dual) (Blue Cat Audio),C:\Program Files\Common Files\VST3\BC Triple EQ 4 VST3(Dual).vst3,VST3,Blue Cat Audio,False,EQ/Filter,EQ/Filter,EQ/Filter,EQ/Filter
98,VST3: Blue Cat's Triple EQ 4 (Mono) (Blue Cat Audio),C:\Program Files\Common Files\VST3\BC Triple EQ 4 VST3(Mono).vst3,VST3,Blue Cat Audio,False,EQ/Filter,EQ/Filter,EQ/Filter,EQ/Filter; Spatial/Imaging
99,VST3: Blue Cat's Triple EQ 4 (Stereo) (Blue Cat Audio),C:\Program Files\Common Files\VST3\BC Triple EQ 4 VST3(Stereo).vst3,VST3,Blue Cat Audio,False,EQ/Filter,EQ/Filter|Spatial/Imaging,EQ/Filter,EQ/Filter; Spatial/Imaging
100,VSTi: bong (x86) (rurik leffanta) (12 out),C:\Program Files (x86)\Steinberg\VSTPlugins\bong.dll,VSTI,rurik leffanta,True,Instruments,Instruments,Instruments,Instruments
101,VST3: BPB Saturator Plus (Bedroom Producers Blog),C:\Program Files\Common Files\VST3\BPB Saturator Plus.vst3,VST3,Bedroom Producers Blog,False,Other/Unknown,Other/Unknown,Saturation/Distortion,Saturation/Distortion
102,VST3: Brandulator (Stone Voices),C:\Program Files\Common Files\VST3\Brandulator.vst3,VST3,Stone Voices,False,Utility/Routing,Utility/Routing,Utility/Routing,Utility/Routing
103,VST: BrassRider (airwindows),C:\Program Files\Common Files\VST2\Airwindows\BrassRider64.dll,VST,airwindows,False,Other/Unknown,Other/Unknown,Saturation/Distortion,Saturation/Distortion
104,VST3: BreadSlicer (Audioblast),C:\Program Files\Common Files\VST3\BreadSlicer.vst3\Contents\x86_64-win\BreadSlicer.vst3,VST3,Audioblast,False,Utility/Routing,Utility/Routing,Utility/Routing,Utility/Routing
105,VST: BrightAmbience (airwindows),C:\Program Files\Common Files\VST2\Airwindows\BrightAmbience64.dll,VST,airwindows,False,Other/Unknown,Other/Unknown,Saturation/Distortion,Saturation/Distortion
106,VST: BrightAmbience2 (airwindows),C:\Program Files\Common Files\VST2\Airwindows\BrightAmbience264.dll,VST,airwindows,False,Other/Unknown,Other/Unknown,Saturation/Distortion,Saturation/Distortion
107,VST: BrightAmbience3 (airwindows),C:\Program Files\Common Files\VST2\Airwindows\BrightAmbience364.dll,VST,airwindows,False,Other/Unknown,Other/Unknown,Saturation/Distortion,Saturation/Distortion
108,VST3: BritChannel (AnalogObsession),C:\Program Files\Common Files\VST3\BritChannel.vst3\Contents\x86_64-win\BritChannel.vst3,VST3,AnalogObsession,False,Other/Unknown,Other/Unknown,MultiFX/ChannelStrip,MultiFX/ChannelStrip
109,VST3: BritPre (AnalogObsession),C:\Program Files\Common Files\VST3\BritPre.vst3\Contents\x86_64-win\BritPre.vst3,VST3,AnalogObsession,False,Other/Unknown,Other/Unknown,Saturation/Distortion,Saturation/Distortion
110,VST3: Britpressor (AnalogObsession),C:\Program Files\Common Files\VST3\Britpressor.vst3\Contents\x86_64-win\Britpressor.vst3,VST3,AnalogObsession,False,Other/Unknown,Other/Unknown,Saturation/Distortion,Saturation/Distortion
111,VST3: BT-Clipper (Viator DSP),C:\Program Files\Common Files\VST3\BT-Clipper.vst3,VST3,Viator DSP,False,Dynamics,Dynamics,Limiter/Clipper,Dynamics; Limiter/Clipper
112,VST3i: BucketPops (Full Bucket Music) (16 out),C:\Program Files\Common Files\VST3\bucketpops.vst3,VST3I,Full Bucket Music,True,Instruments,Instruments,Instruments,Instruments
113,VST: Buffer Override (Destroy FX),C:\Program Files (x86)\Steinberg\VSTPlugins\dfx Buffer Override.dll,VST,Destroy FX,False,Glitch/Granular/Spectral,Glitch/Granular/Spectral,Glitch/Granular/Spectral,Glitch/Granular/Spectral
114,VST: BuildATPDF (airwindows),C:\Program Files\Common Files\VST2\Airwindows\BuildATPDF64.dll,VST,airwindows,False,Other/Unknown,Other/Unknown,Saturation/Distortion,Saturation/Distortion
115,VST: BussColors4 (airwindows),C:\Program Files\Common Files\VST2\Airwindows\BussColors464.dll,VST,airwindows,False,Other/Unknown,Other/Unknown,MultiFX/ChannelStrip,MultiFX/ChannelStrip; Saturation/Distortion
116,VST: ButterComp (airwindows),C:\Program Files\Common Files\VST2\Airwindows\ButterComp64.dll,VST,airwindows,False,Other/Unknown,Other/Unknown,Dynamics,Dynamics
117,VST: ButterComp2 (airwindows),C:\Program Files\Common Files\VST2\Airwindows\ButterComp264.dll,VST,airwindows,False,Other/Unknown,Other/Unknown,Dynamics,Dynamics
118,VST: bx_2098 EQ (Plugin Alliance),C:\Program Files\Steinberg\VSTPlugins\Plugin Alliance\bx_2098 EQ.dll,VST,Plugin Alliance,False,EQ/Filter,EQ/Filter,EQ/Filter,EQ/Filter
119,VST: bx_aura (Plugin Alliance),C:\Program Files\Steinberg\VSTPlugins\Plugin Alliance\bx_aura.dll,VST,Plugin Alliance,False,Utility/Routing,Utility/Routing,Utility/Routing,Utility/Routing
120,VST: bx_bassdude (Plugin Alliance),C:\Program Files\Steinberg\VSTPlugins\Plugin Alliance\bx_bassdude.dll,VST,Plugin Alliance,False,Amp/Cab/Guitar,Amp/Cab/Guitar,Amp/Cab/Guitar,Amp/Cab/Guitar
121,VST3: bx_blackdist2 (Plugin Alliance),C:\Program Files\Common Files\VST3\bx_blackdist2.vst3,VST3,Plugin Alliance,False,Saturation/Distortion,Saturation/Distortion; Amp/Cab/Guitar,Saturation/Distortion,Saturation/Distortion; Amp/Cab/Guitar
122,VST3: bx_bluechorus2 (Plugin Alliance),C:\Program Files\Common Files\VST3\bx_bluechorus2.vst3,VST3,Plugin Alliance,False,Utility/Routing,Utility/Routing,Utility/Routing,Utility/Routing
123,VST3: bx_boom (Plugin Alliance),C:\Program Files\Common Files\VST3\bx_boom.vst3,VST3,Plugin Alliance,False,EQ/Filter,EQ/Filter; Saturation/Distortion,EQ/Filter,EQ/Filter; Saturation/Distortion
124,VST: bx_boom V3 (Plugin Alliance),C:\Program Files\Steinberg\VSTPlugins\Plugin Alliance\bx_boom V3.dll,VST,Plugin Alliance,False,EQ/Filter,EQ/Filter; Saturation/Distortion,EQ/Filter,EQ/Filter; Saturation/Distortion
125,VST: bx_cleansweep Pro (Plugin Alliance),C:\Program Files\Steinberg\VSTPlugins\Plugin Alliance\bx_cleansweep Pro.dll,VST,Plugin Alliance,False,EQ/Filter,EQ/Filter,EQ/Filter,EQ/Filter
126,VST3: bx_cleansweep V2 (Plugin Alliance),C:\Program Files\Common Files\VST3\bx_cleansweep V2.vst3,VST3,Plugin Alliance,False,EQ/Filter,EQ/Filter,EQ/Filter,EQ/Filter
127,VST: bx_clipper (Plugin Alliance),C:\Program Files\Steinberg\VSTPlugins\Plugin Alliance\bx_clipper.dll,VST,Plugin Alliance,False,Dynamics,Dynamics,Dynamics,Dynamics
128,VST: bx_console AMEK 200 (Plugin Alliance),C:\Program Files\Steinberg\VSTPlugins\Plugin Alliance\bx_console AMEK 200.dll,VST,Plugin Alliance,False,EQ/Filter,EQ/Filter,MultiFX/ChannelStrip,EQ/Filter; MultiFX/ChannelStrip; Saturation/Distortion
129,VST: bx_console AMEK 9099 (Plugin Alliance),C:\Program Files\Steinberg\VSTPlugins\Plugin Alliance\bx_console AMEK 9099.dll,VST,Plugin Alliance,False,EQ/Filter,EQ/Filter,MultiFX/ChannelStrip,EQ/Filter; MultiFX/ChannelStrip; Saturation/Distortion
130,VST: bx_console Focusrite SC (Plugin Alliance),C:\Program Files\Steinberg\VSTPlugins\Plugin Alliance\bx_console Focusrite SC.dll,VST,Plugin Alliance,False,EQ/Filter,EQ/Filter,MultiFX/ChannelStrip,EQ/Filter; MultiFX/ChannelStrip; Saturation/Distortion
131,VST: bx_console N (Plugin Alliance),C:\Program Files\Steinberg\VSTPlugins\Plugin Alliance\bx_console N.dll,VST,Plugin Alliance,False,EQ/Filter,EQ/Filter,MultiFX/ChannelStrip,EQ/Filter; MultiFX/ChannelStrip; Saturation/Distortion
