idx,name,ident,format,vendor,is_instrument,primary_category,categories,primary_category_v6,categories_v6
358,VST3i: Elsita (MODE MACHINES) (mono),C:\Program Files\Common Files\VST3\Elsita\Elsita.vst3,VST3I,MODE MACHINES,True,Instruments,Instruments,Instruments,Instruments
359,VST3: elysia niveau filter (Plugin Alliance),C:\Program Files\Common Files\VST3\elysia niveau filter.vst3,VST3,Plugin Alliance,False,EQ/Filter,EQ/Filter,Dynamics,Dynamics; EQ/Filter
360,VST3: Emergence (Daniel Gergely),C:\Program Files\Common Files\VST3\Emergence.vst3,VST3,Daniel Gergely,False,Utility/Routing,Utility/Routing,Utility/Routing,Utility/Routing
361,VST: Energy (airwindows),C:\Program Files\Common Files\VST2\Airwindows\Energy64.dll,VST,airwindows,False,Other/Unknown,Other/Unknown,Saturation/Distortion,Saturation/Distortion
362,VST: Energy2 (airwindows),C:\Program Files\Common Files\VST2\Airwindows\Energy264.dll,VST,airwindows,False,Other/Unknown,Other/Unknown,Saturation/Distortion,Saturation/Distortion
363,VST: Ensemble (airwindows),C:\Program Files\Common Files\VST2\Airwindows\Ensemble64.dll,VST,airwindows,False,Other/Unknown,Other/Unknown,Modulation,Modulation
364,VST3: EnveLover (Press Play),C:\Program Files\Common Files\VST3\EnveLover.vst3,VST3,Press Play,False,Utility/Routing,Utility/Routing,Utility/Routing,Utility/Routing
365,VST3: epicCLOUDS (Variety Of Sound),C:\Program Files\Common Files\VST3\epicCLOUDS (64).vst3,VST3,Variety Of Sound,False,Other/Unknown,Other/Unknown,Dynamics,Dynamics
366,VST3: EpicMStudios Filter (EpicMStudios),C:\Program Files\Common Files\VST3\EMSFilter_64.vst3,VST3,EpicMStudios,False,EQ/Filter,EQ/Filter,EQ/Filter,EQ/Filter
367,VST3: epicPLATEmkII (Variety Of Sound),C:\Program Files\Common Files\VST3\epicPLATEmkII (64).vst3,VST3,Variety Of Sound,False,Other/Unknown,Other/Unknown,Dynamics,Dynamics
368,VST: EQ (airwindows),C:\Program Files\Common Files\VST2\Airwindows\EQ64.dll,VST,airwindows,False,EQ/Filter,EQ/Filter,EQ/Filter,EQ/Filter
369,VST3: EQ1979 (Belles Ondes),C:\Program Files\Common Files\VST3\EQ1979\EQ1979.vst3,VST3,Belles Ondes,False,Utility/Routing,Utility/Routing,Utility/Routing,Utility/Routing
370,VST: EveryConsole (airwindows),C:\Program Files\Common Files\VST2\Airwindows\EveryConsole64.dll,VST,airwindows,False,Other/Unknown,Other/Unknown,MultiFX/ChannelStrip,MultiFX/ChannelStrip; Saturation/Distortion
371,VST: EverySlew (airwindows),C:\Program Files\Common Files\VST2\Airwindows\EverySlew64.dll,VST,airwindows,False,Other/Unknown,Other/Unknown,Saturation/Distortion,Saturation/Distortion
