capability,scripts
Toolbar/Menu/Installer,92
Slicing/Sampler,88
Chains/Presets/Wizard,74
MIDI Routing/Setup,59
Pedal Profiles/Controls,35
Patchbay/Routing Engine,31
MIDI SysEx,28
Synth Modules FB01,23
QA/Doctor/Validation,15
Synth Modules PSS580,12
FX Inventory/Param Catalog,11
MIDI CC/PC/Notes,10
