fx_display,fx_ident,fx_type,base_name,loaded_ok,load_name_used,param_count
,MPL Scripts/JSFX/DC offset.jsfx,,,1,JS: DC offset,4
,Liteon/deesser,,,1,JS: De-esser,12
,delay/delay,,,1,JS: Delay,9
,remaincalm_org/floaty_delay,,,1,JS: Delay (Floaty),14
,delay/delay_lowres,,,1,JS: Delay (Lo-Fi),10
,ReaTeam JSFX/Modulation/mschnell_Delay_Modulator.jsfx,,,1,JS: Delay Modulator,9
,delay/delay_chorus,,,1,JS: Delay w/Chorus,10
,delay/delay_varlen,,,1,JS: Delay w/LFO-Modulated Length,10
,misc/reverseness,,,1,JS: Delay w/Reverseness,8
,delay/delay_chfun,,,1,JS: Delay w/Stereo Bounce,9
,delay/delay_sustain,,,1,JS: Delay w/Sustain,10
,sstillwell/delay_tempo,,,1,JS: Delay w/Tempo Length,10
,sstillwell/delay_pong,,,1,JS: Delay w/Tempo Ping-Pong,10
,delay/delay_tone,,,1,JS: Delay w/Tone Control,10
,loser/DDC,,,1,JS: Digital Drum Compressor,13
,loser/DVCJS,,,1,JS: Digital Versatile Compressor,9
,loser/DVC2JS,,,1,JS: Digital Versatile Compressor v2,11
,sstillwell/dirtsqueeze,,,1,JS: Dirt Squeeze Compressor,7
,guitar/distortion,,,1,JS: Distortion,7
,guitar/distort-fuzz,,,1,JS: Distortion (Fuzz),8
,ReaTeam JSFX/Routing/MDF_DMS to 51.jsfx,,,1,JS: DoubleMidSide to 5.1,13
,ReaTeam JSFX/Routing/MDF_DMS to FOA.jsfx,,,1,JS: DoubleMidSide to FOA,5
,ReaTeam JSFX/Routing/MDF_DMS to Quad.jsfx,,,1,JS: DoubleMidSide to Quadraphonic,11
,ReaTeam JSFX/Routing/MDF_DMS to Stereo.jsfx,,,1,JS: DoubleMidSide to Stereo,12
,sstillwell/expander,,,1,JS: Downward Expander,10
,ReaTeam JSFX/MIDI/XQ_Drum Deviator.jsfx,,,1,JS: Drum Deviator,39
,ReaTeam JSFX/MIDI/XQ_Drum Equalizer.jsfx,,,1,JS: Drum Equalizer,42
,ReaTeam JSFX/Utility/mschnell_Dual Time adjustment.jsfx,,,1,JS: Dual Time adjustment +/- Delay,10
,meters/dynamics_meter,,,1,JS: Dynamic Range Meter,3
,ReaTeam JSFX/Filter/bellesondes_eq1979.jsfx,,,1,JS: EQ1979,13
,sstillwell/eventhorizon,,,1,JS: Event Horizon Clipper,6
,sstillwell/eventhorizon2,,,1,JS: Event Horizon Limiter/Clipper,6
,ReaTeam JSFX/MIDI/willdevelop_every_note_the_same.jsfx,,,1,JS: every_note_the_same,5
,loser/Exciter,,,1,JS: Exciter,7
,sstillwell/exciter,,,1,JS: Exciter (Treble Enhancer),6
,sstillwell/expressbus,,,1,JS: Express Bus Compressor,11
,sstillwell/fairlychildish,,,1,JS: Fairly Childish Compressor/Limiter,11
,sstillwell/fairlychildish2,,,1,JS: Fairly Childish Stereo Compressor/Limiter,14
,filters/autopeakfilter,,,1,JS: FFT Peak-Following Filter,11
,schwa/fft_splitter,,,1,JS: FFT Splitter,7
,sstillwell/flangebaby,,,1,JS: Flange Baby,11
,guitar/flanger,,,1,JS: Flanger,8
,ReaTeam JSFX/Routing/MDF_FOA to DMS.jsfx,,,1,JS: FOA to DoubleMidSide,5
,analysis/gfxanalyzer,,,1,JS: Frequency Spectrum Analyzer Meter (Cockos),10
,analysis/gain_reduction_scope,,,1,JS: Gain Reduction Scope (Cockos),7
,schwa/gaussian_noise_generator,,,1,JS: Gaussian Noise Generator,8
,dynamics/general_dynamics,,,1,JS: General Dynamics (Cockos),13
,loser/gfxGoniometer,,,1,JS: Goniometer,4
,ReaTeam JSFX/Utility/belovw_Goniometer.jsfx,,,1,JS: Goniometer [ReaTeam JSFX/Utility/belovw_Goniometer.jsfx],5
,loopsamplers/loopsampler-granul,,,1,JS: Granular Loop Sampler,11
,waveshapers/graphdist-dyn,,,1,JS: Graphical Dynamic Waveshaper,10
,waveshapers/graphdist,,,1,JS: Graphical Waveshaper,7
,ReaTeam JSFX/Reverb/TiaR_HadamVerb.jsfx,,,1,JS: Hadamard Variable Delay Array,11
,ReaTeam JSFX/Dynamic/sinefabula_Hard Clipper.jsfx,,,1,JS: Hard Clipper,7
,sstillwell/hugebooty,,,1,JS: Huge Booty Bass Enhancer,6
,ReaTeam JSFX/Utility/jsh_Inline Input Viewer (MCP embedded).jsfx,,,1,JS: Inline Input Viewer (MCP embedded),3
,ReaTeam JSFX/Utility/mschnell_Inter Track Parameter Modulation.jsfx,,,1,JS: Inter Track Parameter Modulation,8
,ReaTeam JSFX/Synth/tilr_JS3Osc.jsfx,,,1,JS: JS3Osc,46
,ReaTeam JSFX/Synth/tilr_JSAdditiv.jsfx,,,1,JS: JSAdditiv,26
,ReaTeam JSFX/Synth/tilr_JSDrumpad.jsfx,,,1,JS: JSDrumpad,30
,ReaTeam JSFX/Synth/tilr_JSDrumsynth.jsfx,,,1,JS: JSDrumsynth,186
,ReaTeam JSFX/Synth/tilr_JSModulator.jsfx,,,1,JS: JSModulator,91
,ReaTeam JSFX/Synth/tilr_JSWavesynth.jsfx,,,1,JS: JSWavesynth,26
,ReaTeam JSFX/MIDI/juan_r_Keyboard MirrorInvert (Juan_R).jsfx,,,1,JS: Keyboard Mirror/Invert,4
